Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2024-09-07,Elliptical Trainer,Cardio,,,,0.0,m,0:20:00
2024-09-07,Rowing Machine,Cardio,,,,0.0,m,0:15:00
2024-09-07,Flat Barbell Bench Press,Chest,10.0,kgs,20,,,
2024-09-07,Flat Barbell Bench Press,Chest,30.0,kgs,8,,,
2024-09-07,Flat Barbell Bench Press,Chest,30.0,kgs,8,,,
2024-09-07,Incline Dumbbell Bench Press,Chest,20.0,kgs,12,,,
2024-09-07,Incline Dumbbell Bench Press,Chest,24.0,kgs,10,,,
2024-09-07,Incline Dumbbell Bench Press,Chest,24.0,kgs,10,,,
2024-09-07,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-07,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-07,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-07,Leg Extension Machine,Legs,40.0,kgs,12,,,
2024-09-07,Leg Extension Machine,Legs,40.0,kgs,10,,,
2024-09-07,Leg Extension Machine,Legs,40.0,kgs,8,,,
2024-09-07,Lat Pulldown Machine,Back,40.0,kgs,12,,,
2024-09-07,Lat Pulldown Machine,Back,40.0,kgs,12,,,
2024-09-07,Lat Pulldown Machine,Back,40.0,kgs,12,,,
2024-09-09,Elliptical Trainer,Cardio,,,,0.0,m,0:25:00
2024-09-09,Rowing Machine,Cardio,,,,0.0,m,0:15:00
2024-09-09,Lat Pulldown Machine,Back,40.0,kgs,12,,,
2024-09-09,Lat Pulldown Machine,Back,45.0,kgs,12,,,
2024-09-09,Lat Pulldown Machine,Back,47.5,kgs,12,,,
2024-09-09,Incline Dumbbell Bench Press,Chest,24.0,kgs,12,,,
2024-09-09,Incline Dumbbell Bench Press,Chest,24.0,kgs,12,,,
2024-09-09,Incline Dumbbell Bench Press,Chest,24.0,kgs,12,,,
2024-09-10,Deadhang,Back,,,,,,0:00:35
2024-09-10,Plank,Abs,0.0,kgs,,,,0:00:49
2024-09-11,Elliptical Trainer,Cardio,,,,0.0,m,0:15:00
2024-09-11,Stair Machine,Cardio,,,,,,0:05:00
2024-09-11,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-11,Seated Leg Curl Machine,Legs,45.0,kgs,12,,,
2024-09-11,Seated Leg Curl Machine,Legs,45.0,kgs,12,,,
2024-09-11,Leg Extension Machine,Legs,40.0,kgs,12,,,
2024-09-11,Leg Extension Machine,Legs,40.0,kgs,8,,,
2024-09-11,Leg Extension Machine,Legs,40.0,kgs,12,,,
2024-09-12,Deadhang,Back,,,,,,0:00:50
2024-09-12,Elliptical Trainer,Cardio,,,,0.0,m,0:15:00
2024-09-12,Lat Pulldown Machine,Back,42.5,kgs,12,,,
2024-09-12,Lat Pulldown Machine,Back,47.5,kgs,12,,,
2024-09-12,Lat Pulldown Machine,Back,50.0,kgs,12,,,
2024-09-12,Incline Barbell Bench Press,Chest,20.0,kgs,12,,,
2024-09-12,Incline Barbell Bench Press,Chest,24.0,kgs,12,,,
2024-09-12,Incline Barbell Bench Press,Chest,28.0,kgs,12,,,
2024-09-12,Rope Push Down,Triceps,10.0,kgs,12,,,
2024-09-12,Rope Push Down,Triceps,10.0,kgs,12,,,
2024-09-12,Rope Push Down,Triceps,10.0,kgs,12,,,
2024-09-12,Plank,Abs,0.0,kgs,,,,0:01:14
2024-09-14,Elliptical Trainer,Cardio,,,,0.0,m,0:30:00
2024-09-14,Rowing Machine,Cardio,,,,2400.0,m,0:15:00
2024-09-14,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-14,Seated Leg Curl Machine,Legs,40.0,kgs,12,,,
2024-09-14,Seated Leg Curl Machine,Legs,45.0,kgs,12,,,
2024-09-14,Leg Extension Machine,Legs,40.0,kgs,12,,,
